fileName,ch1,ch2,ch3,ch4,ch5,ch6
Data\WavFieldRecordings\Raw\Blue\early\RAW_Blue_early_12-01-14_dur=600secs.wav,ok,ok,dead,dead,ok,ok
Data\WavFieldRecordings\Raw\Blue\early\RAW_Blue_early_12-01-36_dur=600secs.wav,ok,ok,dead,ok,dead,dead
Data\WavFieldRecordings\Raw\Blue\early\RAW_Blue_early_12-03-15_dur=600secs.wav,ok,ok,dead,dead,ok,ok
Data\WavFieldRecordings\Raw\Blue\early\RAW_Blue_early_12-08-56_dur=600secs.wav,ok,ok,ok,ok,ok,ok
Data\WavFieldRecordings\Raw\Blue\early\RAW_Blue_early_12-09-45_dur=600secs.wav,ok,ok,ok,ok,ok,ok
Data\WavFieldRecordings\Raw\Blue\early\RAW_Blue_early_12-14-08_dur=600secs.wav,ok,ok,dead,ok,dead,ok
Data\WavFieldRecordings\Raw\Blue\early\RAW_Blue_early_12-20-28_dur=600secs.wav,ok,ok,dead,dead,ok,ok
Data\WavFieldRecordings\Raw\Blue\early\RAW_Blue_early_12-30-05_dur=600secs.wav,dead,dead,ok,ok,ok,ok
Data\WavFieldRecordings\Raw\Blue\early\RAW_Blue_early_12-42-02_dur=600secs.wav,ok,ok,ok,ok,ok,ok
Data\WavFieldRecordings\Raw\Blue\early\RAW_Blue_early_12-46-58_dur=600secs.wav,dead,ok,ok,ok,ok,ok
Data\WavFieldRecordings\Raw\Blue\late\RAW_Blue_late_11-00-26_dur=600secs.wav,ok,ok,ok,dead,dead,ok
Data\WavFieldRecordings\Raw\Blue\late\RAW_Blue_late_12-00-43_dur=600secs.wav,ok,ok,dead,dead,ok,ok
Data\WavFieldRecordings\Raw\Blue\late\RAW_Blue_late_12-02-58_dur=600secs.wav,ok,ok,dead,dead,ok,ok
Data\WavFieldRecordings\Raw\Blue\late\RAW_Blue_late_12-03-54_dur=600secs.wav,ok,ok,dead,dead,ok,ok
Data\WavFieldRecordings\Raw\Blue\late\RAW_Blue_late_12-05-38_dur=600secs.wav,dead,dead,ok,ok,ok,ok
Data\WavFieldRecordings\Raw\Blue\late\RAW_Blue_late_12-05-49_dur=600secs.wav,ok,ok,ok,ok,dead,dead
Data\WavFieldRecordings\Raw\Blue\late\RAW_Blue_late_12-06-52_dur=600secs.wav,ok,ok,dead,dead,ok,ok
