angleType,test,group,echoRM,recs,mean,SD,maxER
circular,pre,NoWP:pinknoise,no,1a_pinknoise_N_2; 1a_pinknoise2_N_2; 7a_pinknoise_N_3,1.110501488,0.036280558,5
circular,pre,NoWP:pinknoise,yes,1a_pinknoise_N_2; 1a_pinknoise2_N_2; 7a_pinknoise_N_3,1.110501488,0.036280558,5
circular,pre,NoWP:bird,no,1b_bird_N_2,1.428016061,0.039425777,5
circular,post,Yellow:NoWP:Raw:bird,yes,Yellow_bird01; Yellow_bird02,1.499466611,0.039993816,5
circular,pre,NoWP:bird,yes,1b_bird_N_2,1.66619628,0.041142157,5
circular,post,Yellow:NoWP:Raw:pinknoise,yes,Yellow_pink02; Yellow_pink03,1.999695164,0.042757632,5
circular,pre,WP:pinknoise,yes,5a_pinknoise_Y_2,3.331686082,0.065055589,10
circular,pre,WP:pinknoise,no,5a_pinknoise_Y_2,4.992399008,0.820338979,10
circular,post,Adjusted:pinknoise,yes,AdjG_YelloGreen_pink01; AdjG_YelloGreen_pink02; AdjG_YellowGreen_flipped_pink01,5,0.078088215,10
circular,post,yellowGreen:WP:Adjusted:pinknoise,yes,AdjG_YelloGreen_pink01; AdjG_YelloGreen_pink02; AdjG_YellowGreen_flipped_pink01,5,0.078088215,10
circular,post,Adjusted:pinknoise,no,AdjG_YelloGreen_pink01; AdjG_YelloGreen_pink02; AdjG_YellowGreen_flipped_pink01,5.712178311,0.711921449,180
circular,post,yellowGreen:WP:Adjusted:pinknoise,no,AdjG_YelloGreen_pink01; AdjG_YelloGreen_pink02; AdjG_YellowGreen_flipped_pink01,5.712178311,0.711921449,180
circular,post,Adjusted:bird,yes,AdjG_YelloGreen_bird01; AdjG_YelloGreen_bird02; AdjG_YellowGreen_flipped_bird01,6.002443937,0.085551138,10
circular,post,yellowGreen:WP:Adjusted:bird,yes,AdjG_YelloGreen_bird01; AdjG_YelloGreen_bird02; AdjG_YellowGreen_flipped_bird01,6.002443937,0.085551138,10
circular,pre,WP:bird,yes,5b_bird_Y_2,6.999695164,0.042757632,10
circular,post,Yellow:NoWP:Raw:pinknoise,no,Yellow_pink02; Yellow_pink03,7.080242301,0.505352082,120
circular,pre,WP:bird,no,5b_bird_Y_2,7.5,0.043640157,10
circular,post,Raw:pinknoise,yes,Blue_pink01; Blue_Repowered_pink01; Blue_Repowered_pink02; Yellow_pink02; Yellow_pink03,8.558367281,0.806023309,170
circular,post,Raw:pinknoise,no,Blue_pink01; Blue_Repowered_pink01; Blue_Repowered_pink02; Yellow_pink02; Yellow_pink03,13.51007341,0.893351872,170
circular,post,Raw:bird,yes,Blue_bird01; Blue_bird02; Blue_Repowered_bird01; Blue_Repowered_bird02; Yellow_bird01; Yellow_bird02,16.1750476,0.891847118,120
circular,post,Adjusted:bird,no,AdjG_YelloGreen_bird01; AdjG_YelloGreen_bird02; AdjG_YellowGreen_flipped_bird01,17.17103131,1.068823807,180
circular,post,yellowGreen:WP:Adjusted:bird,no,AdjG_YelloGreen_bird01; AdjG_YelloGreen_bird02; AdjG_YellowGreen_flipped_bird01,17.17103131,1.068823807,180
circular,post,Yellow:NoWP:Raw:bird,no,Yellow_bird01; Yellow_bird02,24.14980737,1.000185327,145
circular,post,Raw:bird,no,Blue_bird01; Blue_bird02; Blue_Repowered_bird01; Blue_Repowered_bird02; Yellow_bird01; Yellow_bird02,40.65230079,1.181900327,145
circular,post,Blue:NoWP:Raw:bird,no,Blue_bird01; Blue_bird02; Blue_Repowered_bird01; Blue_Repowered_bird02,112.0368809,0.951069684,120
circular,post,Blue:NoWP:Raw:bird,yes,Blue_bird01; Blue_bird02; Blue_Repowered_bird01; Blue_Repowered_bird02,112.0368809,0.951069684,120
circular,post,Blue:NoWP:Raw:pinknoise,no,Blue_pink01; Blue_Repowered_pink01; Blue_Repowered_pink02,123.5152779,1.317982555,170
circular,post,Blue:NoWP:Raw:pinknoise,yes,Blue_pink01; Blue_Repowered_pink01; Blue_Repowered_pink02,123.5152779,1.317982555,170
