FileRoot,FileName,ch1,ch2,ch3,ch4,ch5,ch6,brokenCh
Data\yellow\pre,11-06-34_dur=600secs.wav,651,645,9599611,9599527,647,462,?
Data\yellow\pre,11-44-13_dur=600secs.wav,693,443,616,471,609,611,?
Data\yellow\pre,11-46-20_dur=600secs.wav,540,330,403,470,417,404,?
Data\yellow\pre,11-54-14_dur=600secs.wav,403,413,448,439,448,430,?
Data\yellow\pre,11-54-18_dur=600secs.wav,425,386,433,428,438,398,?
Data\yellow\pre,12-06-22_dur=600secs.wav,523,371,506,427,508,386,?
Data\yellow\pre,12-06-40_dur=600secs.wav,906,521,796,919,869,583,?
Data\yellow\pre,12-14-21_dur=600secs.wav,178,161,279,266,275,242,?
Data\yellow\pre,12-24-21_dur=600secs.wav,323,303,378,376,360,354,?
Data\yellow\pre,12-25-26_dur=600secs.wav,718,444,441,449,463,625,?
Data\yellow\early,11-33-34_dur=600secs.wav,550,596,523,487,477,595,?
Data\yellow\early,11-39-59_dur=600secs.wav,594,606,530,500,402,446,?
Data\yellow\early,11-53-17_dur=600secs.wav,713,824,489,576,463,488,?
Data\yellow\early,12-08-38_dur=600secs.wav,581,629,409,516,518,480,?
Data\yellow\early,12-15-52_dur=600secs.wav,685,620,509,518,550,483,?
Data\yellow\early,12-26-14_dur=600secs.wav,702,658,734,529,471,495,?
Data\yellow\early,12-28-44_dur=600secs.wav,770,738,559,683,491,440,?
Data\yellow\early,12-30-56_dur=600secs.wav,641,432,459,426,387,381,?
Data\yellow\early,12-52-18_dur=600secs.wav,746,646,767,466,429,469,?
Data\yellow\early,13-12-17_dur=600secs.wav,632,673,460,483,338,303,?
Data\yellow\late,11-27-23_dur=600secs.wav,566,657,500,410,348,477,?
Data\yellow\late,11-28-22_dur=600secs.wav,698,707,470,560,343,571,?
Data\yellow\late,11-41-23_dur=600secs.wav,691,545,433,362,370,405,?
Data\yellow\late,11-52-25_dur=600secs.wav,589,612,553,597,373,717,?
Data\yellow\late,12-07-36_dur=600secs.wav,718,732,682,590,452,725,?
Data\yellow\late,12-28-53_dur=600secs.wav,9599595,9599512,667,748,479,527,?
Data\yellow\late,12-39-04_dur=600secs.wav,659,649,543,560,502,655,?
Data\yellow\late,12-41-23_dur=600secs.wav,582,602,449,506,360,558,?
Data\yellow\late,13-51-57_dur=600secs.wav,580,449,438,456,381,739,?
