FileRoot,FileName,ch1,ch2,ch3,ch4,ch5,ch6
Data\green\pre,11-53-33_dur=600secs.wav,0.23701,0.15998,0.20503,0.18136,0.17101,0.089809
Data\green\pre,12-01-35_dur=600secs.wav,0.57427,0.48656,0.51458,0.69218,0.62087,0.37213
Data\green\pre,12-01-39_dur=600secs.wav,0.38896,0.28517,0.35393,0.68953,0.42593,0.24638
Data\green\pre,12-01-48_dur=600secs.wav,0.21302,0.14092,0.1856,0.24033,0.23559,0.08917
Data\green\pre,12-03-33_dur=600secs.wav,0.16891,0.090882,0.15896,0.18725,0.18604,0.081593
Data\green\pre,12-03-42_dur=600secs.wav,0.38679,0.3206,0.37318,0.8321,0.82753,0.34444
Data\green\pre,12-11-35_dur=600secs.wav,0.61544,0.56394,0.56585,0.80074,0.77278,0.45527
Data\green\pre,12-12-37_dur=600secs.wav,0.25189,0.13021,0.21313,0.18017,0.15598,0.08674
Data\green\pre,12-13-45_dur=600secs.wav,0.32888,0.2049,0.31411,0.71747,0.67945,0.25512
Data\green\pre,12-14-35_dur=600secs.wav,0.51343,0.32763,0.38037,0.61691,0.5807,0.3412
Data\green\early,12-00-07_dur=600secs.wav,0.055879,0.049689,0.037435,0.049432,0.029552,0.028238
Data\green\early,12-00-19_dur=600secs.wav,0.020589,0.03671,0.019956,0.022679,0.022061,0.020035
Data\green\early,12-02-31_dur=600secs.wav,0.12762,0.048674,0.056077,0.13645,0.44021,0.20514
Data\green\early,12-02-32_dur=600secs.wav,0.059578,0.095246,0.052842,0.059953,0.036134,0.034717
Data\green\early,12-05-21_dur=600secs.wav,0.018944,0.029578,0.014318,0.018893,0.015057,0.014767
Data\green\early,12-06-40_dur=600secs.wav,0.012745,0.037391,0.011876,0.014781,0.01214,0.011749
Data\green\early,12-06-55_dur=600secs.wav,0.11675,0.072853,0.10387,0.12115,0.078645,0.060378
Data\green\early,12-07-01_dur=600secs.wav,0.057693,0.071989,0.046889,0.072709,0.036404,0.029235
Data\green\early,12-09-43_dur=600secs.wav,0.063455,0.07062,0.034769,0.05833,0.098868,0.099961
Data\green\early,12-12-13_dur=600secs.wav,0.080127,0.08064,0.087772,0.073785,0.051933,0.050111
Data\green\late,11-52-39_dur=600secs.wav,0.02032,0.06714,0.019518,0.022565,0.022061,0.020418
Data\green\late,12-06-34_dur=600secs.wav,0.024445,0.059027,0.050538,0.075094,0.052398,0.075608
Data\green\late,12-06-47_dur=600secs.wav,0.063087,0.034635,0.057476,0.048445,0.033688,0.031797
Data\green\late,12-07-01_dur=600secs.wav,0.057693,0.071989,0.046889,0.072709,0.036404,0.029235
Data\green\late,12-10-43_dur=600secs.wav,0.044223,0.060883,0.034797,0.063377,0.02552,0.029823
Data\green\late,12-12-27_dur=600secs.wav,0.037539,0.1443,0.037222,0.066026,0.032434,0.027816
Data\green\late,12-12-38_dur=600secs.wav,0.018625,0.11688,0.018576,0.022819,0.022018,0.021262
Data\green\late,12-12-51_dur=600secs.wav,0.046018,0.034081,0.057111,0.038318,0.021615,0.019912
Data\green\late,12-16-34_dur=600secs.wav,0.087329,0.069376,0.06932,0.061678,0.04631,0.043703
Data\green\late,12-16-53_dur=600secs.wav,0.029946,0.034086,0.026952,0.032339,0.025918,0.018803
