FileRoot,FileName,ch1,ch2,ch3,ch4,ch5,ch6,OutlierNum
Data\yellowgreen\pre,11-54-17_dur=600secs.wav,0.82372,1.3001,0.55344,0.92125,0.71288,0.63469,0
Data\yellowgreen\pre,12-02-09_dur=600secs.wav,0.63788,0.71868,0.38313,0.70438,0.50348,0.45631,0
Data\yellowgreen\pre,12-02-17_dur=600secs.wav,0.62061,0.67948,0.46003,0.71506,0.50939,0.53613,0
Data\yellowgreen\pre,12-02-46_dur=600secs.wav,1.1541,1.2811,0.62581,1.375,0.8476,0.78431,0
Data\yellowgreen\pre,12-02-54_dur=600secs.wav,0.62144,0.62158,0.4269,0.68116,0.42256,0.50442,0
Data\yellowgreen\pre,12-03-08_dur=600secs.wav,0.77363,0.94496,0.63703,0.78705,0.70045,0.75227,1
Data\yellowgreen\pre,12-03-18_dur=600secs.wav,0.5177,0.54835,0.29371,0.53883,0.39808,0.41158,0
Data\yellowgreen\pre,12-04-17_dur=600secs.wav,1.1675,1.5343,0.90916,1.2321,0.92504,1.0304,0
Data\yellowgreen\pre,12-05-32_dur=600secs.wav,0.65722,0.72572,0.54545,0.65788,0.63722,0.62004,2
Data\yellowgreen\pre,12-52-28_dur=600secs.wav,0.60642,0.68392,0.45981,0.71584,0.45797,0.51207,0
Data\yellowgreen\early,12-00-39_dur=600secs.wav,0.74006,1.2153,0.28184,0.29007,0.28897,0.27841,0
Data\yellowgreen\early,12-02-35_dur=600secs.wav,1.3435,1.854,0.34872,0.35202,0.33956,0.30874,0
Data\yellowgreen\early,12-02-39_dur=600secs.wav,0.75376,1.5013,0.29074,0.29851,0.29541,0.28286,1
Data\yellowgreen\early,12-04-25_dur=600secs.wav,1.3808,2.8362,0.33873,0.34242,0.31274,0.28759,0
Data\yellowgreen\early,12-06-06_dur=600secs.wav,2.1182,4.3101,0.43922,0.42124,0.34146,0.29553,0
Data\yellowgreen\early,12-07-23_dur=600secs.wav,0.30898,1.5066,0.27938,0.64192,1.5998,0.27835,0
Data\yellowgreen\early,12-09-58_dur=600secs.wav,0.72819,1.2723,0.28633,0.29356,0.29316,0.28327,0
Data\yellowgreen\early,12-13-00_dur=600secs.wav,0.72275,1.4026,0.29362,0.29976,0.29776,0.28679,1
Data\yellowgreen\early,12-24-32_dur=600secs.wav,0.49221,0.72413,0.28399,0.29089,0.293,0.28266,0
Data\yellowgreen\early,14-10-34_dur=600secs.wav,0.33325,0.38764,0.40972,0.13394,0.14257,0.27223,0
Data\yellowgreen\late,11-45-57_dur=600secs.wav,1.1526,4.2097,0.26691,0.27496,0.27805,0.2712,1
Data\yellowgreen\late,11-54-19_dur=600secs.wav,3.13609,12.0791,0.282155,0.288315,0.291803,0.279754,1
Data\yellowgreen\late,12-02-15_dur=600secs.wav,0.96495,4.5507,0.27857,0.28864,0.29438,0.27942,1
Data\yellowgreen\late,12-02-31_dur=600secs.wav,1.881,8.088,0.2826,0.28969,0.29268,0.28177,1
Data\yellowgreen\late,12-05-23_dur=600secs.wav,0.91301,3.1377,0.27534,0.28379,0.28836,0.27829,1
Data\yellowgreen\late,12-07-22_dur=600secs.wav,0.92437,3.0169,0.27214,0.27818,0.2814,0.27291,1
Data\yellowgreen\late,12-08-42_dur=600secs.wav,1.878,7.6769,0.28759,0.29139,0.29584,0.28067,1
Data\yellowgreen\late,12-29-31_dur=600secs.wav,1.153,3.0442,0.26856,0.27656,0.28017,0.27174,1
Data\yellowgreen\late,12-38-03_dur=600secs.wav,0.63592,1.9081,0.27613,0.28781,0.29288,0.27772,1
Data\yellowgreen\late,12-53-03_dur=600secs.wav,0.77634,2.058,0.26749,0.27551,0.27907,0.27152,1
