FileRoot,FileName,deadCh,partDeadCh,NumOutliers,Var1
Data\yellowgreen\pre,11-54-17_dur=600secs.wav,0,0,0,ok
Data\yellowgreen\pre,12-02-09_dur=600secs.wav,0,0,0,ok
Data\yellowgreen\pre,12-02-17_dur=600secs.wav,0,0,0,ok
Data\yellowgreen\pre,12-02-46_dur=600secs.wav,0,0,0,ok
Data\yellowgreen\pre,12-02-54_dur=600secs.wav,0,0,0,ok
Data\yellowgreen\pre,12-03-08_dur=600secs.wav,0,0,0,ok
Data\yellowgreen\pre,12-03-18_dur=600secs.wav,0,0,0,ok
Data\yellowgreen\pre,12-04-17_dur=600secs.wav,0,0,0,ok
Data\yellowgreen\pre,12-05-32_dur=600secs.wav,0,0,0,ok
Data\yellowgreen\pre,12-52-28_dur=600secs.wav,0,0,0,ok
Data\yellowgreen\early,12-00-39_dur=600secs.wav,0,0,2,2 anomolous channels
Data\yellowgreen\early,12-02-35_dur=600secs.wav,0,0,2,2 anomolous channels
Data\yellowgreen\early,12-02-39_dur=600secs.wav,0,0,2,2 anomolous channels
Data\yellowgreen\early,12-04-25_dur=600secs.wav,0,0,2,2 anomolous channels
Data\yellowgreen\early,12-06-06_dur=600secs.wav,0,0,2,2 anomolous channels
Data\yellowgreen\early,12-07-23_dur=600secs.wav,0,2,0,2 part dead strings
Data\yellowgreen\early,12-09-58_dur=600secs.wav,0,0,2,2 anomolous channels
Data\yellowgreen\early,12-13-00_dur=600secs.wav,0,0,2,2 anomolous channels
Data\yellowgreen\early,12-24-32_dur=600secs.wav,0,0,2,2 anomolous channels
Data\yellowgreen\early,14-10-34_dur=600secs.wav,0,0,2,2 anomolous channels
Data\yellowgreen\late,11-45-57_dur=600secs.wav,0,0,2,2 anomolous channels
Data\yellowgreen\late,11-54-19_dur=600secs.wav,0,0,2,2 anomolous channels
Data\yellowgreen\late,12-02-15_dur=600secs.wav,0,0,2,2 anomolous channels
Data\yellowgreen\late,12-02-31_dur=600secs.wav,0,0,2,2 anomolous channels
Data\yellowgreen\late,12-05-23_dur=600secs.wav,0,0,2,2 anomolous channels
Data\yellowgreen\late,12-07-22_dur=600secs.wav,0,0,2,2 anomolous channels
Data\yellowgreen\late,12-08-42_dur=600secs.wav,0,0,2,2 anomolous channels
Data\yellowgreen\late,12-29-31_dur=600secs.wav,0,0,2,2 anomolous channels
Data\yellowgreen\late,12-38-03_dur=600secs.wav,0,0,2,2 anomolous channels
Data\yellowgreen\late,12-53-03_dur=600secs.wav,0,0,2,2 anomolous channels
