FileRoot,FileName,ch1,ch2,ch3,ch4,ch5,ch6
Data\yellowgreen\pre,11-54-17_dur=600secs.wav,1.2339,1.3644,1.172,1.4029,1.402,1.2201
Data\yellowgreen\pre,12-02-09_dur=600secs.wav,0.72775,0.72529,0.70864,0.80713,0.81412,0.7173
Data\yellowgreen\pre,12-02-17_dur=600secs.wav,0.56928,0.59935,0.55804,0.6791,0.6529,0.55785
Data\yellowgreen\pre,12-02-46_dur=600secs.wav,1.0426,1.1126,1.0179,1.2928,1.229,1.0175
Data\yellowgreen\pre,12-02-54_dur=600secs.wav,0.59126,0.59698,0.57365,0.66016,0.63459,0.59041
Data\yellowgreen\pre,12-03-08_dur=600secs.wav,0.59077,0.61946,0.56131,0.66463,0.64159,0.59259
Data\yellowgreen\pre,12-03-18_dur=600secs.wav,0.60897,0.62395,0.65359,0.6971,0.66532,0.6798
Data\yellowgreen\pre,12-04-17_dur=600secs.wav,0.56695,0.62811,0.54181,0.63407,0.60668,0.56189
Data\yellowgreen\pre,12-05-32_dur=600secs.wav,0.64553,0.66127,0.58309,0.70777,0.6839,0.63183
Data\yellowgreen\pre,12-52-28_dur=600secs.wav,0.71226,0.70275,0.66996,0.78256,0.74964,0.69272
Data\yellowgreen\early,12-00-39_dur=600secs.wav,1.1417,1.7406,0.27846,0.29857,0.27639,0.25843
Data\yellowgreen\early,12-02-35_dur=600secs.wav,3.0516,5.1682,0.36522,0.38925,0.32989,0.28285
Data\yellowgreen\early,12-02-39_dur=600secs.wav,2.0483,2.9922,0.31988,0.3339,0.28983,0.26667
Data\yellowgreen\early,12-04-25_dur=600secs.wav,5.85494,10.672,0.349921,0.375594,0.312844,0.268762
Data\yellowgreen\early,12-06-06_dur=600secs.wav,41.9562,60.7911,0.942587,1.03926,0.622352,0.380127
Data\yellowgreen\early,12-07-23_dur=600secs.wav,0.63834,0.58986,0.073442,1.1874,1.5789,0.26637
Data\yellowgreen\early,12-09-58_dur=600secs.wav,2.5284,3.1527,0.32519,0.34426,0.29758,0.27283
Data\yellowgreen\early,12-13-00_dur=600secs.wav,2.2284,3.1522,0.32703,0.34331,0.30005,0.27372
Data\yellowgreen\early,12-24-32_dur=600secs.wav,0.87516,1.3945,0.27744,0.29742,0.27983,0.25753
Data\yellowgreen\early,14-10-34_dur=600secs.wav,341.2082,300.7226,263.2062,256.1013,140.2837,46.91014
Data\yellowgreen\late,11-45-57_dur=600secs.wav,3.4054,2.2648,0.25147,0.26258,0.25985,0.25192
Data\yellowgreen\late,11-54-19_dur=600secs.wav,20.8501,22.9839,0.299549,0.307311,0.295748,0.274346
Data\yellowgreen\late,12-02-15_dur=600secs.wav,5.7116,4.3814,0.2661,0.28874,0.29398,0.25301
Data\yellowgreen\late,12-02-31_dur=600secs.wav,14.0078,11.2238,0.304909,0.334879,0.336666,0.26646
Data\yellowgreen\late,12-05-23_dur=600secs.wav,1.8886,1.3045,0.26183,0.2727,0.27221,0.2592
Data\yellowgreen\late,12-07-22_dur=600secs.wav,2.6623,1.7353,0.25567,0.26793,0.26478,0.25286
Data\yellowgreen\late,12-08-42_dur=600secs.wav,11.3088,8.48421,0.273044,0.28115,0.29513,0.277339
Data\yellowgreen\late,12-29-31_dur=600secs.wav,2.2381,1.6728,0.25082,0.2611,0.25796,0.24996
Data\yellowgreen\late,12-38-03_dur=600secs.wav,1.1716,0.80909,0.26154,0.27991,0.26976,0.25388
Data\yellowgreen\late,12-53-03_dur=600secs.wav,1.1176,0.81808,0.24744,0.25824,0.25527,0.24759
