FileRoot,FileName,ch1,ch2,ch3,ch4,ch5,ch6
Data\yellow\pre,11-06-34_dur=600secs.wav,2.6806,3.0429,0.00079805,0.00067676,3.9847,4.0018
Data\yellow\pre,11-44-13_dur=600secs.wav,5.8144,6.9796,5.1236,4.8332,4.7792,5.4747
Data\yellow\pre,11-46-20_dur=600secs.wav,7.6777,8.4499,6.591,6.1889,6.1858,7.0787
Data\yellow\pre,11-54-14_dur=600secs.wav,9.19321,12.717,7.09862,6.74189,6.53023,7.77444
Data\yellow\pre,11-54-18_dur=600secs.wav,4.1882,5.593,3.3655,3.1669,3.2153,3.6455
Data\yellow\pre,12-06-22_dur=600secs.wav,3.9251,4.6237,3.3074,3.1328,3.118,3.4971
Data\yellow\pre,12-06-40_dur=600secs.wav,4.8002,6.5439,3.7458,3.5695,3.4747,4.0113
Data\yellow\pre,12-14-21_dur=600secs.wav,11.7173,14.3129,9.70587,9.4873,9.52077,10.3687
Data\yellow\pre,12-24-21_dur=600secs.wav,3.0041,4.0329,2.2517,2.1063,2.1541,2.4524
Data\yellow\pre,12-25-26_dur=600secs.wav,16.4142,18.1498,14.9494,13.9758,13.8818,15.5684
Data\yellow\early,11-33-34_dur=600secs.wav,1.5662,1.8364,1.3168,1.2712,1.4729,1.3064
Data\yellow\early,11-39-59_dur=600secs.wav,2.6961,2.6296,1.9396,1.7838,2.0763,2.0364
Data\yellow\early,11-53-17_dur=600secs.wav,2.0391,1.8806,1.3085,1.2629,1.4683,1.4227
Data\yellow\early,12-08-38_dur=600secs.wav,3.6006,4.7543,2.1779,2.2628,2.6171,2.3159
Data\yellow\early,12-15-52_dur=600secs.wav,3.1279,2.7165,1.3218,1.3689,1.5777,1.4415
Data\yellow\early,12-26-14_dur=600secs.wav,4.0592,4.8575,2.7344,2.8895,3.1658,3.0225
Data\yellow\early,12-28-44_dur=600secs.wav,1.959,2.7235,1.3398,1.2244,1.4168,1.462
Data\yellow\early,12-30-56_dur=600secs.wav,1.8518,2.2969,1.6098,1.5513,1.7695,1.7253
Data\yellow\early,12-52-18_dur=600secs.wav,1.8225,2.0755,1.6424,1.5182,1.6923,1.7199
Data\yellow\early,13-12-17_dur=600secs.wav,17.98,21.832,17.5107,15.8341,18.2845,20.1363
Data\yellow\late,11-27-23_dur=600secs.wav,17.0302,25.2374,23.6792,21.4292,42.4673,11.5396
Data\yellow\late,11-28-22_dur=600secs.wav,11.5336,6.67418,3.14466,3.547,4.03086,1.80856
Data\yellow\late,11-41-23_dur=600secs.wav,1.9385,2.4296,2.0111,1.8568,1.544,1.1765
Data\yellow\late,11-52-25_dur=600secs.wav,154.0974,98.7076,67.3111,95.31898,276.1133,62.19926
Data\yellow\late,12-07-36_dur=600secs.wav,39.2342,18.3462,7.95879,11.4572,2.93952,4.01982
Data\yellow\late,12-28-53_dur=600secs.wav,0.00081114,0.00069494,1.7479,2.6028,2.1108,3.9437
Data\yellow\late,12-39-04_dur=600secs.wav,290.2053,202.557,127.5275,202.3269,86.7032,61.5109
Data\yellow\late,12-41-23_dur=600secs.wav,1.8852,1.9583,1.6191,1.529,2.3442,0.95706
Data\yellow\late,13-51-57_dur=600secs.wav,1.7757,2.0384,1.8282,1.7504,1.9035,1.4123
