Frequency (Hz)	Level (dB)
15.625000	-55.920170
31.250000	-56.098675
46.875000	-58.212189
62.500000	-57.093895
78.125000	-56.227188
93.750000	-59.883339
109.375000	-60.417614
125.000000	-62.099636
140.625000	-62.801559
156.250000	-62.662685
171.875000	-61.184311
187.500000	-56.808872
203.125000	-54.094795
218.750000	-49.965424
234.375000	-47.195942
250.000000	-46.297726
265.625000	-46.924480
281.250000	-46.783962
296.875000	-44.873699
312.500000	-46.658379
328.125000	-49.671600
343.750000	-47.257359
359.375000	-43.664497
375.000000	-38.520962
390.625000	-39.487152
406.250000	-43.763561
421.875000	-45.465355
437.500000	-42.663334
453.125000	-40.101097
468.750000	-42.838562
484.375000	-42.892212
500.000000	-42.657955
515.625000	-40.256916
531.250000	-36.470444
546.875000	-37.027882
562.500000	-39.276081
578.125000	-38.522636
593.750000	-42.908062
609.375000	-40.731876
625.000000	-41.972572
640.625000	-45.520432
656.250000	-44.927700
671.875000	-44.256939
687.500000	-43.472946
703.125000	-40.876762
718.750000	-40.894611
734.375000	-46.806820
750.000000	-50.061871
765.625000	-45.158508
781.250000	-39.052719
796.875000	-40.524914
812.500000	-43.725590
828.125000	-44.954967
843.750000	-47.872757
859.375000	-46.234856
875.000000	-45.432724
890.625000	-46.424210
906.250000	-43.962521
921.875000	-39.744804
937.500000	-40.645664
953.125000	-48.158257
968.750000	-46.900810
984.375000	-47.470032
1000.000000	-45.242458
1015.625000	-41.138420
1031.250000	-40.016403
1046.875000	-42.300392
1062.500000	-48.405968
1078.125000	-45.129868
1093.750000	-44.390945
1109.375000	-45.080677
1125.000000	-47.403328
1140.625000	-46.451031
1156.250000	-47.507740
1171.875000	-48.031467
1187.500000	-43.870190
1203.125000	-45.019878
1218.750000	-43.235874
1234.375000	-42.060730
1250.000000	-46.264641
1265.625000	-48.573246
1281.250000	-46.062263
1296.875000	-45.397427
1312.500000	-48.599785
1328.125000	-46.671032
1343.750000	-44.289803
1359.375000	-44.690948
1375.000000	-43.080246
1390.625000	-41.343437
1406.250000	-42.789803
1421.875000	-46.932823
1437.500000	-45.096756
1453.125000	-42.087494
1468.750000	-40.902332
1484.375000	-41.207806
1500.000000	-44.198112
1515.625000	-44.622551
1531.250000	-44.128273
1546.875000	-41.559013
1562.500000	-38.158951
1578.125000	-38.679035
1593.750000	-42.403286
1609.375000	-41.808899
1625.000000	-39.898109
1640.625000	-39.719769
1656.250000	-41.846016
1671.875000	-43.145973
1687.500000	-41.792160
1703.125000	-42.248066
1718.750000	-44.167152
1734.375000	-44.850014
1750.000000	-43.600712
1765.625000	-45.664200
1781.250000	-46.072895
1796.875000	-44.395885
1812.500000	-40.734802
1828.125000	-42.093914
1843.750000	-42.937698
1859.375000	-39.734993
1875.000000	-40.875854
1890.625000	-43.560345
1906.250000	-47.328510
1921.875000	-44.667995
1937.500000	-40.023876
1953.125000	-42.840527
1968.750000	-42.847271
1984.375000	-46.021942
2000.000000	-49.416241
2015.625000	-46.401974
2031.250000	-44.393879
2046.875000	-47.110004
2062.500000	-47.091675
2078.125000	-46.037807
2093.750000	-46.845917
2109.375000	-45.016163
2125.000000	-46.888454
2140.625000	-44.613720
2156.250000	-43.617554
2171.875000	-41.118179
2187.500000	-42.632168
2203.125000	-44.861862
2218.750000	-47.553410
2234.375000	-49.662121
2250.000000	-49.537636
2265.625000	-46.429844
2281.250000	-46.882732
2296.875000	-42.367882
2312.500000	-40.508049
2328.125000	-44.581722
2343.750000	-49.800209
2359.375000	-46.546993
2375.000000	-42.936729
2390.625000	-45.235493
2406.250000	-43.795250
2421.875000	-38.669086
2437.500000	-39.088978
2453.125000	-42.415871
2468.750000	-50.335144
2484.375000	-45.350567
2500.000000	-45.353184
2515.625000	-45.223099
2531.250000	-43.993809
2546.875000	-46.501534
2562.500000	-47.819702
2578.125000	-45.868397
2593.750000	-46.182728
2609.375000	-52.077621
2625.000000	-48.469315
2640.625000	-43.593105
2656.250000	-45.297127
2671.875000	-41.589825
2687.500000	-44.014046
2703.125000	-49.350407
2718.750000	-47.512211
2734.375000	-44.344624
2750.000000	-45.495972
2765.625000	-47.455200
2781.250000	-46.217350
2796.875000	-41.666992
2812.500000	-43.087845
2828.125000	-45.935753
2843.750000	-46.437992
2859.375000	-40.841972
2875.000000	-39.052006
2890.625000	-42.126980
2906.250000	-44.051907
2921.875000	-45.970562
2937.500000	-49.970253
2953.125000	-46.788513
2968.750000	-45.234344
2984.375000	-42.004414
3000.000000	-43.350395
3015.625000	-49.161442
3031.250000	-47.349007
3046.875000	-43.913631
3062.500000	-46.763336
3078.125000	-50.126083
3093.750000	-46.134327
3109.375000	-42.623566
3125.000000	-44.101978
3140.625000	-44.535645
3156.250000	-46.860802
3171.875000	-50.440430
3187.500000	-44.125443
3203.125000	-42.503616
3218.750000	-43.632324
3234.375000	-45.912830
3250.000000	-44.013847
3265.625000	-43.278622
3281.250000	-47.034321
3296.875000	-48.008293
3312.500000	-44.641998
3328.125000	-41.961796
3343.750000	-43.667278
3359.375000	-41.896820
3375.000000	-42.706760
3390.625000	-46.719818
3406.250000	-45.948021
3421.875000	-43.754150
