Frequency (Hz)	Level (dB)
15.625000	-72.670235
31.250000	-74.187752
46.875000	-74.512939
62.500000	-75.344162
78.125000	-76.225380
93.750000	-77.596169
109.375000	-76.222244
125.000000	-78.868080
140.625000	-80.206505
156.250000	-79.578316
171.875000	-78.509529
187.500000	-75.059792
203.125000	-72.784241
218.750000	-68.747406
234.375000	-65.927032
250.000000	-64.885948
265.625000	-65.384636
281.250000	-65.409477
296.875000	-63.725765
312.500000	-65.265511
328.125000	-67.591728
343.750000	-66.759384
359.375000	-62.653183
375.000000	-57.349648
390.625000	-58.101551
406.250000	-61.150558
421.875000	-62.960442
437.500000	-60.349819
453.125000	-58.107616
468.750000	-61.771320
484.375000	-62.163322
500.000000	-61.707691
515.625000	-58.063663
531.250000	-53.445038
546.875000	-54.034019
562.500000	-56.351780
578.125000	-55.856670
593.750000	-60.844147
609.375000	-58.883923
625.000000	-61.079918
640.625000	-64.818634
656.250000	-62.469257
671.875000	-61.441216
687.500000	-62.879177
703.125000	-60.462097
718.750000	-59.528496
734.375000	-63.637230
750.000000	-67.964294
765.625000	-64.513016
781.250000	-58.424431
796.875000	-60.373962
812.500000	-60.065422
828.125000	-60.549938
843.750000	-63.733124
859.375000	-62.961239
875.000000	-64.721313
890.625000	-65.105316
906.250000	-59.247959
921.875000	-55.476185
937.500000	-56.396286
953.125000	-61.742130
968.750000	-65.631996
984.375000	-63.023224
1000.000000	-60.211784
1015.625000	-56.209888
1031.250000	-54.535007
1046.875000	-58.689316
1062.500000	-63.354858
1078.125000	-58.979546
1093.750000	-59.331078
1109.375000	-60.343941
1125.000000	-61.014774
1140.625000	-60.570953
1156.250000	-62.877548
1171.875000	-58.409416
1187.500000	-55.584023
1203.125000	-56.888222
1218.750000	-57.627747
1234.375000	-57.922085
1250.000000	-61.082172
1265.625000	-61.252697
1281.250000	-57.909500
1296.875000	-57.180786
1312.500000	-61.049294
1328.125000	-60.633270
1343.750000	-59.735897
1359.375000	-61.073238
1375.000000	-60.356342
1390.625000	-60.004002
1406.250000	-61.247898
1421.875000	-60.299980
1437.500000	-58.190334
1453.125000	-57.445347
1468.750000	-54.048431
1484.375000	-55.387806
1500.000000	-56.826241
1515.625000	-56.406292
1531.250000	-59.525246
1546.875000	-57.490273
1562.500000	-51.925827
1578.125000	-51.473392
1593.750000	-55.492001
1609.375000	-57.690117
1625.000000	-55.732246
1640.625000	-54.101025
1656.250000	-54.816971
1671.875000	-56.229332
1687.500000	-56.820583
1703.125000	-56.446644
1718.750000	-53.176018
1734.375000	-54.554420
1750.000000	-55.455704
1765.625000	-56.565613
1781.250000	-59.795933
1796.875000	-57.156731
1812.500000	-54.254181
1828.125000	-55.228477
1843.750000	-54.420280
1859.375000	-54.513351
1875.000000	-52.655533
1890.625000	-54.349934
1906.250000	-59.451214
1921.875000	-59.310036
1937.500000	-53.798252
1953.125000	-57.536209
1968.750000	-60.872147
1984.375000	-59.652676
2000.000000	-59.497688
2015.625000	-60.833153
2031.250000	-61.840614
2046.875000	-62.441319
2062.500000	-62.496078
2078.125000	-58.494438
2093.750000	-57.568939
2109.375000	-56.670872
2125.000000	-55.864784
2140.625000	-57.465584
2156.250000	-59.314243
2171.875000	-54.921741
2187.500000	-53.474506
2203.125000	-52.678818
2218.750000	-56.111130
2234.375000	-58.142056
2250.000000	-58.925476
2265.625000	-58.977669
2281.250000	-59.008560
2296.875000	-59.244045
2312.500000	-58.157822
2328.125000	-55.862732
2343.750000	-59.484493
2359.375000	-60.851341
2375.000000	-59.118877
2390.625000	-61.045021
2406.250000	-60.876362
2421.875000	-55.345562
2437.500000	-53.747627
2453.125000	-57.093971
2468.750000	-57.737255
2484.375000	-56.885792
2500.000000	-57.011101
2515.625000	-57.346100
2531.250000	-59.821384
2546.875000	-60.255009
2562.500000	-61.610943
2578.125000	-57.963604
2593.750000	-54.226387
2609.375000	-57.617687
2625.000000	-62.173214
2640.625000	-58.154659
2656.250000	-54.467461
2671.875000	-55.496559
2687.500000	-58.448971
2703.125000	-58.299484
2718.750000	-54.946251
2734.375000	-52.799538
2750.000000	-53.801224
2765.625000	-54.424000
2781.250000	-54.986469
2796.875000	-55.964073
2812.500000	-57.587814
2828.125000	-56.310444
2843.750000	-54.877819
2859.375000	-54.474384
2875.000000	-56.132263
2890.625000	-60.022842
2906.250000	-58.282616
2921.875000	-56.739166
2937.500000	-57.867901
2953.125000	-60.089542
2968.750000	-57.762650
2984.375000	-56.780029
3000.000000	-58.308903
3015.625000	-58.734814
3031.250000	-58.748158
3046.875000	-57.902775
3062.500000	-60.164108
3078.125000	-60.592659
3093.750000	-55.223877
3109.375000	-54.146908
3125.000000	-57.262745
3140.625000	-57.409405
3156.250000	-59.708984
3171.875000	-63.164536
3187.500000	-59.668442
3203.125000	-56.723724
3218.750000	-56.985420
3234.375000	-55.337891
3250.000000	-52.163330
3265.625000	-54.467327
3281.250000	-57.155552
3296.875000	-58.243664
3312.500000	-60.452930
3328.125000	-59.915627
3343.750000	-56.292114
3359.375000	-54.410728
3375.000000	-57.570339
3390.625000	-59.730225
3406.250000	-60.366234
3421.875000	-59.569283
3437.500000	-56.924099
3453.125000	-56.804535
3468.750000	-55.996960
3484.375000	-56.341900
3500.000000	-54.225605
3515.625000	-55.062378
3531.250000	-59.252495
3546.875000	-61.344234
3562.500000	-61.074490
3578.125000	-57.163368
3593.750000	-57.958298
3609.375000	-59.222351
3625.000000	-62.066513
3640.625000	-56.352615
3656.250000	-52.798782
3671.875000	-53.531544
3687.500000	-54.023380
3703.125000	-57.129734
3718.750000	-54.786682
3734.375000	-51.554977
3750.000000	-52.910751
3765.625000	-53.974575
3781.250000	-59.354210
3796.875000	-56.569771
3812.500000	-54.589809
3828.125000	-53.295067
3843.750000	-54.564102
3859.375000	-57.301624
3875.000000	-56.114376
3890.625000	-51.512875
3906.250000	-50.661819
3921.875000	-50.484051
3937.500000	-51.620663
3953.125000	-54.276035
3968.750000	-52.242508
3984.375000	-49.779366
4000.000000	-51.651474
4015.625000	-53.296848
4031.250000	-50.901325
4046.875000	-51.089680
4062.500000	-53.553875
4078.125000	-51.480141
4093.750000	-51.545486
4109.375000	-52.633827
4125.000000	-52.733437
4140.625000	-52.699074
4156.250000	-56.744667
4171.875000	-55.464474
4187.500000	-55.052597
4203.125000	-55.455410
4218.750000	-52.691383
4234.375000	-52.462597
4250.000000	-57.145664
4265.625000	-55.178669
4281.250000	-52.801609
4296.875000	-52.579102
4312.500000	-54.295444
4328.125000	-56.028442
4343.750000	-50.687393
4359.375000	-50.999599
4375.000000	-53.081734
4390.625000	-54.896210
4406.250000	-55.451130
4421.875000	-53.510921
4437.500000	-50.573864
4453.125000	-50.550579
4468.750000	-51.665035
4484.375000	-52.575996
4500.000000	-54.113071
4515.625000	-58.165283
4531.250000	-54.279629
4546.875000	-52.347843
4562.500000	-53.838295
4578.125000	-53.463448
4593.750000	-52.325161
4609.375000	-52.416672
4625.000000	-54.846474
4640.625000	-58.078579
4656.250000	-55.907707
4671.875000	-53.154293
4687.500000	-52.677189
4703.125000	-52.564198
4718.750000	-53.454109
4734.375000	-57.983261
4750.000000	-54.472458
4765.625000	-53.329159
4781.250000	-54.324207
4796.875000	-56.406841
4812.500000	-56.651821
4828.125000	-53.003471
4843.750000	-51.770912
4859.375000	-55.175442
4875.000000	-56.553532
4890.625000	-55.757408
4906.250000	-56.115696
4921.875000	-55.843174
4937.500000	-54.481720
4953.125000	-58.478722
4968.750000	-54.055912
4984.375000	-52.122372
5000.000000	-54.315289
5015.625000	-57.141781
5031.250000	-57.316944
5046.875000	-59.135071
5062.500000	-57.173512
5078.125000	-53.592903
5093.750000	-53.382874
5109.375000	-55.544788
5125.000000	-57.287628
5140.625000	-57.665970
5156.250000	-56.321117
5171.875000	-54.188053
5187.500000	-56.791588
5203.125000	-60.914139
5218.750000	-54.988941
5234.375000	-53.033493
5250.000000	-55.389366
5265.625000	-58.671417
5281.250000	-59.492798
5296.875000	-53.530346
5312.500000	-50.383999
5328.125000	-51.543747
5343.750000	-55.856640
5359.375000	-54.120335
5375.000000	-53.250141
5390.625000	-57.139206
5406.250000	-58.673916
5421.875000	-53.510910
5437.500000	-54.758930
5453.125000	-58.624428
5468.750000	-56.098629
5484.375000	-57.120693
5500.000000	-59.002956
5515.625000	-57.716537
5531.250000	-54.227287
5546.875000	-53.658737
5562.500000	-54.365425
5578.125000	-55.879269
5593.750000	-61.195110
5609.375000	-65.130928
5625.000000	-62.143578
5640.625000	-56.816021
5656.250000	-57.045795
5671.875000	-62.130257
5687.500000	-66.653717
5703.125000	-64.378250
5718.750000	-60.719761
5734.375000	-59.826946
5750.000000	-62.321209
5765.625000	-62.750259
5781.250000	-62.946365
5796.875000	-63.003345
5812.500000	-57.523304
5828.125000	-55.990276
5843.750000	-59.197369
5859.375000	-61.791203
5875.000000	-64.174149
5890.625000	-61.470459
5906.250000	-58.423275
5921.875000	-61.172100
5937.500000	-62.355019
5953.125000	-58.882732
5968.750000	-58.145924
5984.375000	-58.080921
6000.000000	-58.670662
6015.625000	-60.848419
6031.250000	-63.409939
6046.875000	-58.266968
6062.500000	-56.090981
6078.125000	-54.673759
6093.750000	-55.412434
6109.375000	-57.838188
6125.000000	-60.582069
6140.625000	-60.758396
6156.250000	-59.302101
6171.875000	-62.396141
6187.500000	-60.247242
6203.125000	-56.815701
6218.750000	-56.151775
6234.375000	-56.559914
6250.000000	-58.176483
6265.625000	-58.495747
6281.250000	-61.107750
6296.875000	-58.429886
6312.500000	-54.643307
6328.125000	-55.365952
6343.750000	-57.043980
6359.375000	-58.046997
6375.000000	-58.813816
6390.625000	-57.905418
6406.250000	-56.816963
6421.875000	-58.255161
6437.500000	-56.215893
6453.125000	-55.979931
6468.750000	-56.527699
6484.375000	-57.222218
6500.000000	-57.945213
6515.625000	-59.208241
6531.250000	-58.840469
6546.875000	-57.402882
6562.500000	-57.673542
6578.125000	-60.574558
6593.750000	-61.356712
6609.375000	-62.856586
6625.000000	-60.051075
6640.625000	-59.309841
6656.250000	-60.896442
6671.875000	-61.271759
6687.500000	-62.647259
6703.125000	-62.053936
6718.750000	-59.710735
6734.375000	-63.398792
6750.000000	-68.012909
6765.625000	-63.862041
6781.250000	-64.937492
6796.875000	-64.996857
6812.500000	-64.436874
6828.125000	-65.711014
6843.750000	-66.437553
6859.375000	-69.671577
6875.000000	-71.071274
6890.625000	-71.192902
6906.250000	-69.834946
6921.875000	-70.879173
6937.500000	-69.022644
6953.125000	-69.764107
6968.750000	-72.625809
6984.375000	-74.281174
7000.000000	-77.762665
7015.625000	-76.394028
7031.250000	-78.721992
7046.875000	-76.388062
7062.500000	-77.094101
7078.125000	-80.754196
7093.750000	-81.259995
7109.375000	-84.314125
7125.000000	-85.569168
7140.625000	-86.443413
7156.250000	-82.068710
7171.875000	-82.104614
7187.500000	-83.218132
7203.125000	-80.632973
7218.750000	-81.579735
7234.375000	-82.944572
7250.000000	-84.646500
7265.625000	-87.747902
7281.250000	-87.547112
7296.875000	-88.738693
7312.500000	-86.653618
7328.125000	-85.248497
7343.750000	-88.388969
7359.375000	-93.612366
7375.000000	-95.669388
7390.625000	-95.390251
7406.250000	-93.883675
7421.875000	-92.884209
7437.500000	-92.971153
7453.125000	-92.706215
7468.750000	-95.521072
7484.375000	-96.280724
7500.000000	-96.714020
7515.625000	-98.549553
7531.250000	-97.385262
7546.875000	-97.224052
7562.500000	-97.422913
7578.125000	-97.522934
7593.750000	-97.971542
7609.375000	-98.287544
7625.000000	-97.967514
7640.625000	-97.771881
7656.250000	-98.584953
7671.875000	-98.900925
7687.500000	-98.980537
7703.125000	-98.764053
7718.750000	-99.008698
7734.375000	-99.242805
7750.000000	-99.305000
7765.625000	-99.171951
7781.250000	-99.026718
7796.875000	-99.160706
7812.500000	-99.295723
7828.125000	-99.172676
7843.750000	-99.296867
7859.375000	-99.155998
7875.000000	-99.359123
7890.625000	-99.318413
7906.250000	-99.331696
7921.875000	-99.459740
7937.500000	-99.278732
7953.125000	-99.255867
7968.750000	-99.474945
7984.375000	-99.308762
