Frequency (Hz)	Level (dB)
15.625000	-69.156227
31.250000	-71.553734
46.875000	-74.675621
62.500000	-73.641464
78.125000	-72.093544
93.750000	-72.976654
109.375000	-72.354996
125.000000	-73.420143
140.625000	-75.612068
156.250000	-76.061089
171.875000	-75.483643
187.500000	-73.704826
203.125000	-72.507927
218.750000	-69.770012
234.375000	-67.011086
250.000000	-65.578903
265.625000	-66.424416
281.250000	-67.730827
296.875000	-67.133430
312.500000	-68.774689
328.125000	-69.773399
343.750000	-67.566521
359.375000	-65.093536
375.000000	-60.996304
390.625000	-62.503304
406.250000	-66.175446
421.875000	-67.636627
437.500000	-65.538490
453.125000	-62.649097
468.750000	-64.734848
484.375000	-66.012009
500.000000	-66.020905
515.625000	-64.329193
531.250000	-60.934437
546.875000	-60.815239
562.500000	-62.156837
578.125000	-62.391251
593.750000	-65.437454
609.375000	-65.027672
625.000000	-65.771523
640.625000	-67.481239
656.250000	-70.054359
671.875000	-70.941299
687.500000	-65.590569
703.125000	-64.658951
718.750000	-67.776726
734.375000	-72.178619
750.000000	-71.515625
765.625000	-71.208603
781.250000	-68.791954
796.875000	-68.942268
812.500000	-72.439629
828.125000	-76.652084
843.750000	-76.807091
859.375000	-74.721527
875.000000	-73.300041
890.625000	-72.491028
906.250000	-70.963432
921.875000	-71.994896
937.500000	-74.835594
953.125000	-72.253967
968.750000	-71.140839
984.375000	-74.226379
1000.000000	-69.513435
1015.625000	-68.604965
1031.250000	-71.114265
1046.875000	-70.548874
1062.500000	-72.417908
1078.125000	-73.987747
1093.750000	-71.320961
1109.375000	-68.578789
1125.000000	-68.529129
1140.625000	-69.323769
1156.250000	-67.923431
1171.875000	-67.531639
1187.500000	-66.167015
1203.125000	-66.109337
1218.750000	-68.742935
1234.375000	-68.795639
1250.000000	-65.857346
1265.625000	-63.605122
1281.250000	-64.032776
1296.875000	-69.541306
1312.500000	-68.923012
1328.125000	-64.152664
1343.750000	-65.654877
1359.375000	-71.373756
1375.000000	-72.942421
1390.625000	-70.383202
1406.250000	-67.838852
1421.875000	-66.610344
1437.500000	-70.896645
1453.125000	-74.604050
1468.750000	-75.636551
1484.375000	-67.509705
1500.000000	-65.392250
1515.625000	-67.675323
1531.250000	-71.427330
1546.875000	-75.274330
1562.500000	-69.142410
1578.125000	-70.479462
1593.750000	-68.066307
1609.375000	-63.674698
1625.000000	-65.063995
1640.625000	-68.002518
1656.250000	-70.489540
1671.875000	-69.675697
1687.500000	-69.851700
1703.125000	-67.190559
1718.750000	-68.990456
1734.375000	-68.482674
1750.000000	-71.045258
1765.625000	-70.060707
1781.250000	-65.223572
1796.875000	-66.247734
1812.500000	-69.573723
1828.125000	-68.704964
1843.750000	-65.625565
1859.375000	-65.720375
1875.000000	-70.833923
1890.625000	-71.600014
1906.250000	-66.556488
1921.875000	-68.966087
1937.500000	-66.139565
1953.125000	-68.783035
1968.750000	-70.503952
1984.375000	-67.657539
2000.000000	-68.912651
2015.625000	-67.829582
2031.250000	-68.416878
2046.875000	-72.066528
2062.500000	-71.234215
2078.125000	-71.136475
2093.750000	-67.605270
2109.375000	-64.996262
2125.000000	-66.431908
2140.625000	-69.416176
2156.250000	-67.618736
2171.875000	-67.082298
2187.500000	-69.281296
2203.125000	-69.141792
2218.750000	-67.359032
2234.375000	-68.126389
2250.000000	-70.951202
2265.625000	-66.243057
2281.250000	-66.775192
2296.875000	-66.453453
2312.500000	-68.574860
2328.125000	-68.536728
2343.750000	-64.997162
2359.375000	-64.871681
2375.000000	-69.118843
2390.625000	-72.679909
2406.250000	-70.791519
2421.875000	-68.470703
2437.500000	-68.581284
2453.125000	-71.742546
2468.750000	-71.555466
2484.375000	-66.101273
2500.000000	-65.519440
2515.625000	-66.610832
2531.250000	-68.467857
2546.875000	-70.323288
2562.500000	-72.766319
2578.125000	-68.151703
2593.750000	-63.494667
2609.375000	-64.721169
2625.000000	-71.064285
2640.625000	-73.491287
2656.250000	-69.540604
2671.875000	-70.996925
2687.500000	-71.427193
2703.125000	-66.821129
2718.750000	-66.492821
2734.375000	-68.842499
2750.000000	-66.625351
2765.625000	-63.001286
2781.250000	-62.738434
2796.875000	-67.691963
2812.500000	-71.633148
2828.125000	-69.312378
2843.750000	-63.633595
2859.375000	-61.277454
2875.000000	-63.535130
2890.625000	-68.094421
2906.250000	-63.982670
2921.875000	-64.849884
2937.500000	-70.387222
2953.125000	-66.594193
2968.750000	-64.710732
2984.375000	-67.178177
3000.000000	-72.389542
3015.625000	-67.781395
3031.250000	-66.337181
3046.875000	-67.617599
3062.500000	-68.787109
3078.125000	-69.094009
3093.750000	-63.910862
3109.375000	-64.214355
3125.000000	-66.290909
3140.625000	-68.934776
3156.250000	-67.429451
3171.875000	-64.507767
3187.500000	-66.011345
3203.125000	-65.947273
3218.750000	-66.225449
3234.375000	-66.872612
3250.000000	-70.283920
3265.625000	-72.589134
3281.250000	-72.889084
3296.875000	-74.261917
3312.500000	-74.624321
3328.125000	-69.910187
3343.750000	-67.923264
3359.375000	-72.365837
3375.000000	-70.331017
3390.625000	-71.907982
3406.250000	-74.788147
3421.875000	-71.612671
3437.500000	-70.762894
3453.125000	-71.080002
3468.750000	-71.728317
3484.375000	-71.623154
3500.000000	-68.053673
3515.625000	-65.090446
3531.250000	-66.244308
3546.875000	-68.411934
3562.500000	-72.872383
3578.125000	-71.708984
3593.750000	-66.270782
3609.375000	-65.492699
3625.000000	-65.832008
3640.625000	-69.095306
3656.250000	-70.087814
3671.875000	-66.400627
3687.500000	-63.598907
3703.125000	-64.245949
3718.750000	-64.955658
3734.375000	-62.621799
3750.000000	-61.676147
3765.625000	-61.500179
3781.250000	-61.907326
3796.875000	-65.406578
3812.500000	-68.215858
3828.125000	-68.475449
3843.750000	-62.188179
3859.375000	-61.725723
3875.000000	-63.109966
3890.625000	-62.503010
3906.250000	-65.804047
3921.875000	-64.950363
3937.500000	-62.907597
3953.125000	-63.950378
3968.750000	-65.091713
3984.375000	-64.331848
4000.000000	-60.543671
4015.625000	-59.954235
4031.250000	-61.485912
4046.875000	-62.790798
4062.500000	-65.516266
4078.125000	-61.982944
4093.750000	-61.890163
4109.375000	-62.876362
4125.000000	-62.132332
4140.625000	-62.714508
4156.250000	-63.270683
4171.875000	-68.631348
4187.500000	-65.284492
4203.125000	-64.836815
4218.750000	-64.374016
4234.375000	-65.044106
4250.000000	-63.978867
4265.625000	-62.614563
4281.250000	-68.700050
4296.875000	-66.933418
4312.500000	-65.484596
4328.125000	-65.721504
4343.750000	-68.548264
4359.375000	-66.710663
4375.000000	-65.549736
4390.625000	-65.331070
4406.250000	-64.984138
4421.875000	-66.369888
4437.500000	-67.980217
4453.125000	-66.733223
4468.750000	-64.070671
4484.375000	-64.468269
4500.000000	-68.283638
4515.625000	-71.544350
4531.250000	-72.623016
4546.875000	-71.248253
4562.500000	-72.791740
4578.125000	-68.439629
4593.750000	-67.980125
4609.375000	-70.151711
4625.000000	-72.219643
4640.625000	-71.520218
4656.250000	-75.320198
4671.875000	-71.846832
4687.500000	-70.321877
4703.125000	-67.454964
4718.750000	-67.712982
4734.375000	-70.075600
4750.000000	-71.093575
4765.625000	-66.392868
4781.250000	-65.478256
4796.875000	-68.473175
4812.500000	-68.888000
4828.125000	-69.071800
4843.750000	-72.392975
4859.375000	-74.372986
4875.000000	-69.775925
4890.625000	-68.965302
4906.250000	-69.513603
4921.875000	-66.743332
4937.500000	-67.617096
4953.125000	-69.819328
4968.750000	-70.472878
4984.375000	-72.887978
5000.000000	-73.827904
5015.625000	-67.101173
5031.250000	-65.117142
5046.875000	-66.409523
5062.500000	-70.245193
5078.125000	-71.613609
5093.750000	-71.478416
5109.375000	-68.532127
5125.000000	-68.361908
5140.625000	-69.153099
5156.250000	-68.666176
5171.875000	-68.440971
5187.500000	-68.971809
5203.125000	-73.176659
5218.750000	-70.274849
5234.375000	-67.774063
5250.000000	-66.027634
5265.625000	-64.706093
5281.250000	-64.392609
5296.875000	-67.508278
5312.500000	-69.167580
5328.125000	-69.322754
5343.750000	-65.650818
5359.375000	-66.066772
5375.000000	-66.523949
5390.625000	-67.414467
