Frequency (Hz)	Level (dB)
15.625000	-65.932213
31.250000	-65.067978
46.875000	-69.056511
62.500000	-68.790977
78.125000	-68.703438
93.750000	-71.188652
109.375000	-70.432541
125.000000	-72.124039
140.625000	-73.215271
156.250000	-72.836189
171.875000	-72.112595
187.500000	-68.830444
203.125000	-66.347054
218.750000	-62.700565
234.375000	-60.338848
250.000000	-59.048267
265.625000	-59.852497
281.250000	-60.929508
296.875000	-58.961971
312.500000	-60.407120
328.125000	-63.681915
343.750000	-61.860004
359.375000	-58.058342
375.000000	-52.428505
390.625000	-52.660458
406.250000	-58.171772
421.875000	-61.052216
437.500000	-59.030716
453.125000	-55.999012
468.750000	-57.918259
484.375000	-58.380894
500.000000	-56.920891
515.625000	-57.824741
531.250000	-54.348003
546.875000	-52.970608
562.500000	-55.569618
578.125000	-55.630398
593.750000	-58.243458
609.375000	-58.466545
625.000000	-59.004055
640.625000	-60.615887
656.250000	-61.902702
671.875000	-61.532780
687.500000	-62.522068
703.125000	-58.522625
718.750000	-57.231834
734.375000	-61.563305
750.000000	-64.314163
765.625000	-64.176842
781.250000	-61.772991
796.875000	-61.018265
812.500000	-65.762230
828.125000	-69.244545
843.750000	-70.275902
859.375000	-68.518013
875.000000	-64.101967
890.625000	-64.020363
906.250000	-68.083595
921.875000	-68.671631
937.500000	-67.369545
953.125000	-64.863602
968.750000	-60.814323
984.375000	-63.229427
1000.000000	-67.524635
1015.625000	-64.288719
1031.250000	-66.849945
1046.875000	-62.748032
1062.500000	-62.416584
1078.125000	-62.497192
1093.750000	-63.442196
1109.375000	-58.045956
1125.000000	-57.400085
1140.625000	-58.640709
1156.250000	-65.425743
1171.875000	-63.776955
1187.500000	-58.342331
1203.125000	-57.025478
1218.750000	-60.739376
1234.375000	-64.129440
1250.000000	-61.972267
1265.625000	-59.161930
1281.250000	-57.025047
1296.875000	-59.788548
1312.500000	-62.684498
1328.125000	-60.347427
1343.750000	-59.328773
1359.375000	-60.928982
1375.000000	-64.597023
1390.625000	-61.910751
1406.250000	-59.169186
1421.875000	-57.072315
1437.500000	-59.432178
1453.125000	-67.025940
1468.750000	-62.745762
1484.375000	-56.932823
1500.000000	-54.747654
1515.625000	-57.251118
1531.250000	-64.391197
1546.875000	-62.230175
1562.500000	-57.487770
1578.125000	-55.944851
1593.750000	-57.433338
1609.375000	-61.112610
1625.000000	-58.106705
1640.625000	-55.958012
1656.250000	-55.352848
1671.875000	-59.837238
1687.500000	-59.518581
1703.125000	-55.778767
1718.750000	-52.483452
1734.375000	-52.151470
1750.000000	-58.353493
1765.625000	-57.526531
1781.250000	-58.223488
1796.875000	-59.107162
1812.500000	-57.614170
1828.125000	-57.011929
1843.750000	-54.709064
1859.375000	-53.354927
1875.000000	-58.028389
1890.625000	-55.883324
1906.250000	-55.986954
1921.875000	-58.389893
1937.500000	-53.108345
1953.125000	-55.364300
1968.750000	-57.729061
1984.375000	-54.532944
2000.000000	-57.360920
2015.625000	-55.519444
2031.250000	-55.763908
2046.875000	-55.088737
2062.500000	-54.822289
2078.125000	-54.442234
2093.750000	-53.689503
2109.375000	-53.026474
2125.000000	-53.652481
2140.625000	-55.637680
2156.250000	-54.066635
2171.875000	-54.300457
2187.500000	-55.700466
2203.125000	-55.925537
2218.750000	-55.380917
2234.375000	-57.305737
2250.000000	-59.295654
2265.625000	-55.687675
2281.250000	-55.641453
2296.875000	-54.783691
2312.500000	-54.135136
2328.125000	-57.492889
2343.750000	-57.564285
2359.375000	-55.315746
2375.000000	-55.905926
2390.625000	-57.013096
2406.250000	-61.871010
2421.875000	-60.179657
2437.500000	-59.684525
2453.125000	-55.734352
2468.750000	-57.301544
2484.375000	-62.030148
2500.000000	-63.003265
2515.625000	-55.721478
2531.250000	-54.924965
2546.875000	-58.495731
2562.500000	-57.313824
2578.125000	-57.583477
2593.750000	-57.174381
2609.375000	-56.477085
2625.000000	-57.278709
2640.625000	-54.366283
2656.250000	-54.920544
2671.875000	-57.095585
2687.500000	-59.576649
2703.125000	-56.491772
2718.750000	-53.654694
2734.375000	-53.794949
2750.000000	-64.427696
2765.625000	-56.001694
2781.250000	-56.866085
2796.875000	-56.662197
2812.500000	-54.150333
2828.125000	-56.377277
2843.750000	-57.089191
2859.375000	-52.763863
2875.000000	-51.397247
2890.625000	-53.569408
2906.250000	-54.299385
2921.875000	-53.475800
2937.500000	-55.758427
2953.125000	-57.678303
2968.750000	-58.193470
2984.375000	-56.499226
3000.000000	-54.616199
3015.625000	-54.580151
3031.250000	-55.975079
3046.875000	-56.767067
3062.500000	-56.309364
3078.125000	-57.555325
3093.750000	-54.771355
3109.375000	-54.317131
3125.000000	-54.955265
3140.625000	-51.925472
3156.250000	-52.848972
3171.875000	-54.758408
3187.500000	-54.765469
3203.125000	-56.850616
3218.750000	-54.789211
3234.375000	-50.834167
3250.000000	-53.954315
3265.625000	-57.711502
3281.250000	-56.580410
3296.875000	-53.930538
3312.500000	-55.551357
3328.125000	-56.652763
3343.750000	-55.237137
3359.375000	-54.891487
3375.000000	-54.072460
3390.625000	-55.196968
3406.250000	-56.745083
3421.875000	-56.069080
3437.500000	-57.283108
3453.125000	-56.321335
3468.750000	-54.837132
3484.375000	-52.638645
3500.000000	-52.132313
3515.625000	-54.025742
3531.250000	-55.009560
3546.875000	-54.795033
3562.500000	-50.916271
3578.125000	-49.615540
3593.750000	-51.959892
3609.375000	-52.853374
3625.000000	-53.369171
3640.625000	-52.766148
3656.250000	-50.263824
3671.875000	-50.486797
3687.500000	-51.854317
3703.125000	-52.055386
3718.750000	-50.099670
3734.375000	-48.987389
3750.000000	-49.733360
3765.625000	-51.419834
3781.250000	-53.301746
3796.875000	-52.478539
3812.500000	-49.600380
3828.125000	-50.222431
3843.750000	-50.390053
3859.375000	-51.394238
3875.000000	-52.836517
3890.625000	-55.284302
3906.250000	-52.042976
3921.875000	-49.567009
3937.500000	-50.844097
3953.125000	-52.611935
3968.750000	-52.893551
3984.375000	-50.513489
4000.000000	-53.481113
4015.625000	-56.438736
4031.250000	-53.617920
4046.875000	-53.471302
4062.500000	-54.837204
4078.125000	-56.263878
4093.750000	-55.297733
4109.375000	-55.525997
4125.000000	-55.013985
4140.625000	-57.530357
4156.250000	-60.305477
4171.875000	-55.449512
4187.500000	-54.256897
4203.125000	-56.060635
4218.750000	-57.694092
4234.375000	-60.358158
4250.000000	-63.592915
4265.625000	-64.291122
4281.250000	-55.747833
4296.875000	-55.178265
4312.500000	-57.722485
4328.125000	-62.338699
4343.750000	-63.347202
4359.375000	-61.418659
4375.000000	-60.550213
4390.625000	-62.449047
