Frequency (Hz)	Level (dB)
15.625000	-67.886452
31.250000	-68.709175
46.875000	-71.468147
62.500000	-76.040337
78.125000	-76.914192
93.750000	-76.472656
109.375000	-76.709007
125.000000	-74.314949
140.625000	-69.517830
156.250000	-67.434547
171.875000	-67.143044
187.500000	-68.455978
203.125000	-68.829308
218.750000	-67.348488
234.375000	-66.003540
250.000000	-65.201416
265.625000	-65.056526
281.250000	-64.660889
296.875000	-63.298054
312.500000	-65.110619
328.125000	-67.144821
343.750000	-65.027397
359.375000	-61.561325
375.000000	-56.418941
390.625000	-56.995953
406.250000	-60.544373
421.875000	-61.547626
437.500000	-58.913082
453.125000	-56.814678
468.750000	-59.588860
484.375000	-58.547649
500.000000	-57.929123
515.625000	-55.711494
531.250000	-51.597473
546.875000	-51.965336
562.500000	-54.333225
578.125000	-53.331383
593.750000	-57.215458
609.375000	-55.228905
625.000000	-56.442486
640.625000	-59.653488
656.250000	-58.081203
671.875000	-57.212219
687.500000	-56.811222
703.125000	-54.268745
718.750000	-54.524445
734.375000	-58.238266
750.000000	-56.842659
765.625000	-55.647831
781.250000	-51.293468
796.875000	-51.668995
812.500000	-53.548462
828.125000	-55.075787
843.750000	-58.970123
859.375000	-57.881222
875.000000	-58.163071
890.625000	-59.038094
906.250000	-59.772923
921.875000	-52.885056
937.500000	-52.570415
953.125000	-56.883148
968.750000	-58.593155
984.375000	-56.544704
1000.000000	-57.790234
1015.625000	-53.781528
1031.250000	-51.246754
1046.875000	-52.076595
1062.500000	-54.261196
1078.125000	-54.187794
1093.750000	-54.957134
1109.375000	-54.254379
1125.000000	-54.806511
1140.625000	-56.192818
1156.250000	-56.802052
1171.875000	-58.084843
1187.500000	-55.058384
1203.125000	-55.549961
1218.750000	-53.146465
1234.375000	-51.321117
1250.000000	-56.398293
1265.625000	-56.850426
1281.250000	-54.971020
1296.875000	-55.382290
1312.500000	-58.421604
1328.125000	-54.186104
1343.750000	-52.430965
1359.375000	-52.351318
1375.000000	-50.544994
1390.625000	-50.134560
1406.250000	-51.239677
1421.875000	-54.843998
1437.500000	-56.241333
1453.125000	-51.671803
1468.750000	-49.315536
1484.375000	-49.662148
1500.000000	-51.050320
1515.625000	-50.698170
1531.250000	-52.401646
1546.875000	-49.596550
1562.500000	-45.605190
1578.125000	-45.937691
1593.750000	-49.657654
1609.375000	-50.275394
1625.000000	-47.348888
1640.625000	-48.373077
1656.250000	-50.920280
1671.875000	-51.091831
1687.500000	-48.529922
1703.125000	-47.196819
1718.750000	-48.972023
1734.375000	-50.155861
1750.000000	-47.699184
1765.625000	-49.841934
1781.250000	-49.626991
1796.875000	-46.912701
1812.500000	-44.024410
1828.125000	-46.089790
1843.750000	-45.627907
1859.375000	-44.712238
