Frequency (Hz)	Level (dB)
15.625000	-55.563126
31.250000	-54.565132
46.875000	-58.754749
62.500000	-58.487572
78.125000	-58.317383
93.750000	-61.275661
109.375000	-60.524609
125.000000	-62.487041
140.625000	-63.948463
156.250000	-63.675911
171.875000	-62.292622
187.500000	-58.417820
203.125000	-55.797188
218.750000	-51.795094
234.375000	-49.150032
250.000000	-47.879463
265.625000	-48.831299
281.250000	-50.139095
296.875000	-48.616901
312.500000	-50.260036
328.125000	-52.552780
343.750000	-49.788692
359.375000	-46.580833
375.000000	-41.618542
390.625000	-42.613579
406.250000	-48.328529
421.875000	-50.156628
437.500000	-47.824432
453.125000	-44.910900
468.750000	-47.183117
484.375000	-48.410435
500.000000	-47.906494
515.625000	-47.387283
531.250000	-43.629459
546.875000	-42.792938
562.500000	-44.964306
578.125000	-44.705566
593.750000	-47.030426
609.375000	-47.684509
625.000000	-48.234287
640.625000	-50.423519
656.250000	-52.786671
671.875000	-53.301823
687.500000	-50.265781
703.125000	-47.585278
718.750000	-48.199028
734.375000	-53.707821
750.000000	-54.804768
765.625000	-53.106571
781.250000	-51.081528
796.875000	-50.651096
812.500000	-55.730347
828.125000	-59.635841
843.750000	-61.038555
859.375000	-59.407295
875.000000	-55.114334
890.625000	-56.062931
906.250000	-58.618977
921.875000	-59.066208
937.500000	-59.422821
953.125000	-56.616024
968.750000	-52.457863
984.375000	-56.190296
1000.000000	-56.242374
1015.625000	-52.712822
1031.250000	-54.926865
1046.875000	-52.972496
1062.500000	-54.092995
1078.125000	-53.303387
1093.750000	-52.204792
1109.375000	-48.627899
1125.000000	-48.351372
1140.625000	-49.908669
1156.250000	-53.890892
1171.875000	-52.182026
1187.500000	-47.391415
1203.125000	-47.507095
1218.750000	-52.119583
1234.375000	-53.078518
1250.000000	-50.514503
1265.625000	-47.197872
1281.250000	-46.374981
1296.875000	-50.120071
1312.500000	-51.292816
1328.125000	-48.043617
1343.750000	-48.510246
1359.375000	-52.062195
1375.000000	-55.306450
1390.625000	-52.690010
1406.250000	-49.870392
1421.875000	-47.817371
1437.500000	-51.309448
1453.125000	-56.248035
1468.750000	-54.685429
1484.375000	-47.652775
1500.000000	-45.900265
1515.625000	-49.296452
1531.250000	-54.972492
1546.875000	-52.876751
1562.500000	-47.285934
1578.125000	-48.340725
1593.750000	-52.305908
1609.375000	-49.609447
1625.000000	-48.356987
1640.625000	-48.112312
1656.250000	-47.952587
1671.875000	-50.394943
1687.500000	-49.597622
1703.125000	-46.974648
1718.750000	-45.956890
1734.375000	-46.309570
1750.000000	-50.951607
1765.625000	-50.313271
1781.250000	-48.448833
1796.875000	-48.639954
1812.500000	-49.734623
1828.125000	-51.683556
1843.750000	-49.160988
1859.375000	-46.901871
1875.000000	-51.311489
1890.625000	-51.538746
1906.250000	-50.352577
1921.875000	-52.813442
1937.500000	-48.338200
1953.125000	-50.247032
1968.750000	-49.569752
1984.375000	-48.332928
2000.000000	-52.445351
2015.625000	-55.945175
2031.250000	-52.297615
2046.875000	-49.812099
2062.500000	-52.581585
2078.125000	-52.235168
2093.750000	-50.608959
2109.375000	-49.244316
2125.000000	-50.262207
2140.625000	-51.997841
2156.250000	-51.574127
2171.875000	-51.315632
2187.500000	-52.316509
2203.125000	-51.245270
2218.750000	-50.242302
2234.375000	-54.617233
2250.000000	-57.098549
2265.625000	-53.650158
2281.250000	-52.641582
2296.875000	-49.392033
2312.500000	-50.422073
2328.125000	-53.962776
2343.750000	-54.886765
2359.375000	-53.447662
2375.000000	-56.095772
2390.625000	-58.231770
2406.250000	-58.117260
2421.875000	-53.732243
2437.500000	-53.279716
2453.125000	-53.012005
2468.750000	-54.506145
2484.375000	-55.544621
2500.000000	-53.937553
2515.625000	-51.542061
2531.250000	-53.003445
2546.875000	-57.578651
2562.500000	-58.110195
2578.125000	-59.713238
2593.750000	-58.166275
2609.375000	-57.496517
2625.000000	-58.895653
2640.625000	-55.098450
2656.250000	-54.296780
2671.875000	-56.196121
2687.500000	-57.191441
2703.125000	-54.239555
2718.750000	-54.399700
2734.375000	-54.741852
2750.000000	-55.122864
2765.625000	-55.002613
2781.250000	-56.407990
2796.875000	-53.274712
2812.500000	-54.101074
2828.125000	-55.932003
2843.750000	-56.139408
2859.375000	-50.691204
2875.000000	-50.321381
2890.625000	-54.174828
2906.250000	-56.188145
2921.875000	-54.551182
2937.500000	-53.786713
2953.125000	-55.357857
2968.750000	-53.410507
2984.375000	-54.096405
3000.000000	-54.630508
3015.625000	-58.938068
3031.250000	-60.494968
3046.875000	-58.062687
3062.500000	-56.834709
3078.125000	-56.072857
3093.750000	-51.501797
3109.375000	-50.977524
3125.000000	-55.501610
3140.625000	-53.946613
3156.250000	-57.261131
3171.875000	-56.713516
3187.500000	-54.631596
3203.125000	-54.693081
3218.750000	-52.161518
3234.375000	-51.299118
3250.000000	-55.494450
3265.625000	-55.324436
3281.250000	-55.124168
3296.875000	-53.672947
3312.500000	-51.444302
3328.125000	-52.646503
3343.750000	-60.660255
3359.375000	-56.659199
3375.000000	-54.816959
3390.625000	-55.657043
3406.250000	-59.460167
3421.875000	-59.731297
3437.500000	-57.047623
3453.125000	-58.318310
3468.750000	-59.082905
3484.375000	-51.213390
3500.000000	-49.365726
3515.625000	-50.746605
3531.250000	-56.612595
3546.875000	-58.550591
3562.500000	-53.041115
3578.125000	-51.118057
3593.750000	-52.415821
3609.375000	-54.234783
3625.000000	-55.892590
3640.625000	-55.045204
3656.250000	-50.554691
3671.875000	-50.400246
3687.500000	-53.295166
3703.125000	-52.560249
3718.750000	-50.015186
3734.375000	-46.997768
3750.000000	-46.147476
3765.625000	-47.187210
3781.250000	-50.375252
3796.875000	-52.832199
3812.500000	-52.864643
3828.125000	-51.448074
3843.750000	-47.443039
3859.375000	-47.722561
3875.000000	-49.352612
3890.625000	-50.603153
3906.250000	-53.039726
3921.875000	-48.164669
3937.500000	-49.751488
3953.125000	-50.878212
3968.750000	-49.191410
3984.375000	-45.882202
4000.000000	-46.654144
4015.625000	-48.983940
4031.250000	-51.154598
4046.875000	-50.607536
4062.500000	-52.179493
4078.125000	-51.160767
4093.750000	-50.297585
4109.375000	-52.232784
4125.000000	-53.778759
4140.625000	-54.449478
4156.250000	-54.474747
4171.875000	-61.562874
4187.500000	-61.042568
4203.125000	-55.219425
4218.750000	-53.041252
4234.375000	-52.062679
4250.000000	-52.827248
4265.625000	-53.650829
4281.250000	-53.321033
4296.875000	-52.063667
4312.500000	-52.648392
4328.125000	-55.335735
4343.750000	-55.423103
4359.375000	-62.287086
4375.000000	-57.322292
4390.625000	-54.694656
4406.250000	-54.793484
4421.875000	-54.339642
4437.500000	-49.716736
4453.125000	-48.471909
4468.750000	-50.139915
4484.375000	-52.007225
4500.000000	-54.828033
4515.625000	-60.425644
4531.250000	-53.899559
4546.875000	-51.588703
4562.500000	-52.521557
4578.125000	-56.351505
4593.750000	-58.047371
4609.375000	-60.801659
4625.000000	-62.317265
4640.625000	-65.624535
4656.250000	-61.073967
4671.875000	-56.989349
4687.500000	-55.462891
4703.125000	-54.701958
4718.750000	-55.703247
4734.375000	-57.696346
4750.000000	-56.861771
4765.625000	-53.076317
4781.250000	-51.998768
4796.875000	-55.202984
4812.500000	-59.651146
4828.125000	-61.378414
4843.750000	-63.322979
4859.375000	-61.749798
4875.000000	-59.982193
4890.625000	-58.987595
4906.250000	-58.851902
4921.875000	-57.470528
4937.500000	-57.242115
4953.125000	-58.180664
4968.750000	-56.399494
4984.375000	-56.012611
5000.000000	-56.653797
5015.625000	-56.781101
5031.250000	-58.017433
5046.875000	-58.139050
5062.500000	-59.370564
5078.125000	-59.675446
5093.750000	-59.503426
5109.375000	-61.018574
5125.000000	-61.657558
5140.625000	-60.354836
5156.250000	-60.907188
5171.875000	-62.485424
5187.500000	-60.250290
5203.125000	-60.745815
5218.750000	-55.475735
5234.375000	-52.553589
5250.000000	-53.016136
5265.625000	-54.912041
5281.250000	-56.657238
5296.875000	-58.021812
5312.500000	-60.104534
5328.125000	-58.316647
5343.750000	-58.650566
5359.375000	-63.781807
5375.000000	-57.771629
5390.625000	-57.903934
5406.250000	-60.798386
5421.875000	-58.116058
5437.500000	-58.851650
5453.125000	-59.168152
5468.750000	-55.709324
5484.375000	-54.281479
5500.000000	-55.656101
5515.625000	-58.750072
5531.250000	-63.575195
5546.875000	-61.311619
5562.500000	-56.405613
5578.125000	-55.132633
5593.750000	-58.592976
5609.375000	-63.228165
5625.000000	-57.402962
5640.625000	-54.270824
5656.250000	-55.424858
5671.875000	-59.344421
5687.500000	-60.085922
5703.125000	-58.037823
5718.750000	-57.574234
5734.375000	-60.294708
5750.000000	-64.468216
5765.625000	-61.125069
5781.250000	-59.848103
5796.875000	-60.342533
5812.500000	-63.092972
5828.125000	-67.694992
5843.750000	-67.848907
5859.375000	-64.523529
5875.000000	-61.299782
5890.625000	-64.075195
5906.250000	-64.112755
5921.875000	-60.851826
5937.500000	-61.270939
5953.125000	-59.889729
5968.750000	-61.185608
5984.375000	-66.428917
6000.000000	-66.428032
6015.625000	-66.554031
6031.250000	-62.590656
6046.875000	-64.786201
6062.500000	-64.734238
6078.125000	-65.173416
6093.750000	-66.888496
6109.375000	-69.715408
6125.000000	-67.037834
6140.625000	-64.820465
6156.250000	-64.098259
6171.875000	-63.012100
6187.500000	-66.760330
6203.125000	-70.555847
6218.750000	-69.629539
6234.375000	-68.137917
6250.000000	-63.893387
6265.625000	-62.148209
6281.250000	-62.039848
6296.875000	-62.982677
6312.500000	-65.487785
6328.125000	-68.178070
6343.750000	-64.370804
6359.375000	-62.681072
6375.000000	-62.166656
6390.625000	-61.524719
6406.250000	-61.892483
6421.875000	-61.115894
6437.500000	-60.969864
6453.125000	-63.709068
6468.750000	-64.743469
6484.375000	-63.378849
6500.000000	-58.031403
6515.625000	-57.330956
6531.250000	-59.672745
6546.875000	-62.728588
6562.500000	-62.523857
6578.125000	-63.227127
6593.750000	-63.421162
6609.375000	-65.024826
6625.000000	-66.255051
6640.625000	-63.035576
6656.250000	-61.866390
6671.875000	-62.806961
6687.500000	-64.208023
6703.125000	-63.557934
6718.750000	-63.773182
6734.375000	-65.196167
6750.000000	-65.268600
6765.625000	-63.798431
6781.250000	-65.848473
6796.875000	-66.183098
6812.500000	-68.862778
6828.125000	-67.213654
6843.750000	-65.836952
6859.375000	-66.320412
6875.000000	-67.557396
6890.625000	-67.694160
6906.250000	-69.662849
6921.875000	-70.357391
6937.500000	-69.646408
6953.125000	-72.898392
6968.750000	-71.529083
6984.375000	-70.424187
7000.000000	-70.460106
7015.625000	-71.243805
7031.250000	-72.618668
7046.875000	-75.514519
7062.500000	-77.817352
7078.125000	-75.094124
7093.750000	-72.494751
7109.375000	-73.178101
7125.000000	-77.487297
7140.625000	-75.893974
7156.250000	-75.628769
7171.875000	-76.789902
7187.500000	-79.396118
7203.125000	-82.883125
7218.750000	-84.700180
7234.375000	-82.855965
7250.000000	-80.117065
7265.625000	-81.022079
7281.250000	-86.904861
7296.875000	-88.507980
7312.500000	-83.780800
7328.125000	-82.899399
7343.750000	-82.815224
7359.375000	-86.245216
7375.000000	-89.301506
7390.625000	-90.222717
7406.250000	-90.427727
7421.875000	-90.855927
7437.500000	-91.155525
7453.125000	-90.939598
7468.750000	-89.949715
7484.375000	-90.214287
7500.000000	-90.859993
7515.625000	-91.587502
7531.250000	-91.185150
7546.875000	-90.803169
7562.500000	-90.619827
7578.125000	-91.000977
7593.750000	-91.305519
7609.375000	-91.152596
7625.000000	-91.132080
7640.625000	-91.633842
7656.250000	-91.819550
7671.875000	-91.906952
7687.500000	-91.837479
7703.125000	-91.389290
