test,device,head,time.min,time.sec,phase,volts,amps,power
continuous,6,y,0,0,PO,4.901,0.713,3.494413
continuous,6,y,0,15,PO,4.926,1.025,5.04915
continuous,6,y,0,30,PO,4.942,0.803,3.968426
continuous,6,y,0,45,REC,4.942,1.063,5.253346
continuous,6,y,1,60,REC,4.958,0.731,3.624298
continuous,6,y,1,75,REC,4.95,0.796,3.9402
continuous,6,y,1,90,REC+UP,4.942,0.95,4.6949
continuous,6,y,1,105,REC+UP,4.934,1.087,5.363258
continuous,6,y,2,120,REC+UP,4.934,1.089,5.373126
continuous,6,y,2,135,REC+UP,4.926,1.14,5.61564
continuous,6,y,2,150,REC+UP,4.926,1.094,5.389044
continuous,6,y,2,165,REC+UP,4.926,1.103,5.433378
continuous,6,y,3,180,REC+UP,4.934,0.954,4.707036
continuous,6,y,3,195,REC+UP,4.942,0.88,4.34896
continuous,6,y,3,210,REC+UP,4.934,1.021,5.037614
continuous,6,y,3,225,REC+UP,4.942,1.042,5.149564
continuous,6,y,4,240,REC+UP,4.934,1.036,5.111624
continuous,6,y,4,255,REC+UP,4.942,1.063,5.253346
continuous,6,y,4,270,REC+UP,4.942,1.019,5.035898
continuous,6,y,4,285,REC+UP,4.95,0.871,4.31145
continuous,6,y,5,300,REC+UP,4.967,0.731,3.630877
continuous,6,n,0,0,NA,4.926,0.55,2.7093
continuous,6,n,0,15,NA,4.976,0.788,3.921088
continuous,6,n,0,30,NA,4.975,0.626,3.11435
continuous,6,n,0,45,NA,4.967,0.876,4.351092
continuous,6,n,1,60,NA,4.983,0.691,3.443253
continuous,6,n,1,75,NA,4.983,0.727,3.622641
continuous,6,n,1,90,NA,4.975,0.741,3.686475
continuous,6,n,1,105,NA,4.942,0.899,4.442858
continuous,6,n,2,120,NA,4.942,0.968,4.783856
continuous,6,n,2,135,NA,4.95,0.896,4.4352
continuous,6,n,2,150,NA,4.95,0.922,4.5639
continuous,6,n,2,165,NA,4.967,0.984,4.887528
continuous,6,n,3,180,NA,4.967,0.909,4.515003
continuous,6,n,3,195,NA,4.975,0.705,3.507375
continuous,6,n,3,210,NA,4.975,0.763,3.795925
continuous,6,n,3,225,NA,4.967,1.089,5.409063
continuous,6,n,4,240,NA,4.967,0.987,4.902429
continuous,6,n,4,255,NA,4.967,0.964,4.788188
continuous,6,n,4,270,NA,4.967,0.926,4.599442
continuous,6,n,4,285,NA,4.983,0.704,3.508032
continuous,6,n,5,300,NA,4.983,0.616,3.069528
continuous,1,y,0,0,PO,4.994,0.648,3.236112
continuous,1,y,0,15,PO,4.994,1.033,5.158802
continuous,1,y,0,30,PO,4.926,0.721,3.551646
continuous,1,y,0,45,REC,5.012,0.873,4.375476
continuous,1,y,1,60,REC,4.953,1.018,5.042154
continuous,1,y,1,75,REC,4.902,1.038,5.088276
continuous,1,y,1,90,REC+UP,4.994,0.948,4.734312
continuous,1,y,1,105,REC,4.93,0.846,4.17078
continuous,1,y,2,120,REC,4.953,0.929,4.601337
continuous,1,y,2,135,REC,4.957,1.005,4.981785
continuous,1,y,2,150,REC+UP,4.994,1.14,5.69316
continuous,1,y,2,165,REC,4.974,0.958,4.765092
continuous,1,y,3,180,REC,4.917,0.827,4.066359
continuous,1,y,3,195,REC,4.955,0.894,4.42977
continuous,1,y,3,210,REC+UP,4.93,1.003,4.94479
continuous,1,y,3,225,REC,4.988,0.95,4.7386
continuous,1,y,4,240,REC,4.994,0.886,4.424684
continuous,1,y,4,255,REC,4.935,0.969,4.782015
continuous,1,y,4,270,REC+UP,4.93,0.91,4.4863
continuous,1,y,4,285,REC+UP,5.013,1.052,5.273676
continuous,1,y,5,300,REC,4.965,1.091,5.416815
continuous,1,y,5,315,REC,4.957,0.952,4.719064
continuous,1,y,5,330,REC+UP,4.989,1.123,5.602647
continuous,1,y,5,345,REC,4.996,0.885,4.42146
continuous,1,n,0,0,NA,5.007,0.861,4.311027
continuous,1,n,0,15,NA,4.918,0.767,3.772106
continuous,1,n,0,30,NA,5.008,0.867,4.341936
continuous,1,n,0,45,NA,4.997,0.712,3.557864
continuous,1,n,1,60,NA,4.997,0.963,4.812111
continuous,1,n,1,75,NA,4.997,0.952,4.757144
continuous,1,n,1,90,NA,4.958,0.806,3.996148
continuous,1,n,1,105,NA,4.965,0.962,4.77633
continuous,1,n,2,120,NA,4.953,0.662,3.278886
continuous,1,n,2,135,NA,4.954,0.941,4.661714
continuous,1,n,2,150,NA,4.921,0.883,4.345243
continuous,1,n,2,165,NA,4.918,0.808,3.973744
continuous,1,n,3,180,NA,4.92,0.783,3.85236
continuous,1,n,3,195,NA,5.008,0.814,4.076512
continuous,1,n,3,210,NA,4.986,0.768,3.829248
continuous,1,n,3,225,NA,4.957,1.107,5.487399
continuous,1,n,4,240,NA,4.994,0.931,4.649414
continuous,1,n,4,255,NA,4.926,0.934,4.600884
continuous,1,n,4,270,NA,4.943,0.913,4.512959
continuous,1,n,4,285,NA,4.954,0.738,3.656052
continuous,1,n,5,300,NA,4.921,0.815,4.010615
continuous,1,n,5,315,NA,4.994,0.788,3.935272
continuous,1,n,5,330,NA,4.994,0.72,3.59568
continuous,1,n,5,345,NA,4.926,0.954,4.699404
non_continuous,6,y,0,0,PO,5.139,0.234,1.202526
non_continuous,6,y,0,15,PO,5.123,0.933,4.779759
non_continuous,6,y,0,30,PO,5.164,0.692,3.573488
non_continuous,6,y,0,45,PO,5.139,0.849,4.363011
non_continuous,6,y,1,0,REC,5.139,0.82,4.21398
non_continuous,6,y,1,15,REC,5.164,0.732,3.780048
non_continuous,6,y,1,30,REC,5.164,0.685,3.53734
non_continuous,6,y,1,45,REC,5.139,0.881,4.527459
non_continuous,6,y,2,0,IDLE,5.147,0.85,4.37495
non_continuous,6,y,2,15,UP,5.139,0.848,4.357872
non_continuous,6,y,2,30,UP,5.106,0.943,4.814958
non_continuous,6,y,2,45,UP,5.139,0.913,4.691907
non_continuous,6,y,3,0,REC+UP,5.123,1.15,5.89145
non_continuous,6,y,3,15,REC+UP,5.139,0.961,4.938579
non_continuous,6,y,3,30,REC+UP,5.144,1.113,5.725272
non_continuous,6,y,3,45,REC+UP,5.131,1.012,5.192572
non_continuous,6,y,4,0,UP,5.123,1.061,5.435503
non_continuous,6,y,4,15,UP,5.147,0.901,4.637447
non_continuous,6,y,4,30,IDLE,5.147,0.85,4.37495
non_continuous,6,y,4,45,IDLE,5.155,0.717,3.696135
non_continuous,6,y,5,0,REC,5.164,0.686,3.542504
non_continuous,6,y,5,15,REC,5.172,0.686,3.547992
non_continuous,6,y,5,30,REC,5.172,0.747,3.863484
non_continuous,6,y,5,45,REC,5.164,0.806,4.162184
non_continuous,6,y,6,0,IDLE,5.172,0.656,3.392832
non_continuous,6,y,6,15,IDLE,5.164,0.719,3.712916
non_continuous,6,n,0,0,ON,5.221,0,0
non_continuous,6,n,0,15,ON,5.188,0.718,3.724984
non_continuous,6,n,0,30,ON,5.188,0.614,3.185432
non_continuous,6,n,0,45,ON,5.18,0.746,3.86428
non_continuous,6,n,1,0,ON,5.188,0.573,2.972724
non_continuous,6,n,1,15,ON,5.197,0.573,2.977881
non_continuous,6,n,1,30,ON,5.197,0.578,3.003866
non_continuous,6,n,1,45,ON,5.197,0.573,2.977881
non_continuous,6,n,2,0,ON,5.188,0.735,3.81318
non_continuous,6,n,2,15,ON,5.18,0.908,4.70344
non_continuous,6,n,2,30,ON,5.172,0.787,4.070364
non_continuous,6,n,2,45,ON,5.164,0.931,4.807684
non_continuous,6,n,3,0,ON,5.172,1.024,5.296128
non_continuous,6,n,3,15,ON,5.164,0.966,4.988424
non_continuous,6,n,3,30,ON,5.18,0.935,4.8433
non_continuous,6,n,3,45,ON,5.188,0.755,3.91694
non_continuous,6,n,4,0,ON,5.188,0.745,3.86506
non_continuous,6,n,4,15,ON,5.197,0.551,2.863547
non_continuous,6,n,4,30,ON,5.192,0.607,3.151544
non_continuous,6,n,4,45,ON,5.197,0.589,3.061033
non_continuous,6,n,5,0,ON,5.197,0.574,2.983078
non_continuous,1,y,0,0,PO,5.164,1.016,5.246624
non_continuous,1,y,0,15,PO,5.147,0.752,3.870544
non_continuous,1,y,0,30,PO,5.155,0.917,4.727135
non_continuous,1,y,0,45,REC,5.155,0.869,4.479695
non_continuous,1,y,1,0,REC,5.164,0.816,4.213824
non_continuous,1,y,1,15,REC,5.172,0.721,3.729012
non_continuous,1,y,1,30,REC,5.155,0.929,4.788995
non_continuous,1,y,1,45,IDLE,5.172,0.803,4.153116
non_continuous,1,y,2,0,UP,5.155,1.005,5.180775
non_continuous,1,y,2,15,UP,5.155,0.928,4.78384
non_continuous,1,y,2,30,IDLE,5.172,0.739,3.822108
non_continuous,1,y,2,45,REC,5.155,0.923,4.758065
non_continuous,1,y,3,0,REC,5.172,0.726,3.754872
non_continuous,1,y,3,15,REC,5.172,0.645,3.33594
non_continuous,1,y,3,30,REC,5.164,0.884,4.564976
non_continuous,1,y,3,45,IDLE,5.164,0.756,3.903984
non_continuous,1,y,4,0,UP,5.164,0.89,4.59596
